"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Portio","","Data input tests","1","0","8","0","0"
"Portio","","Login tests","0","0","5","0","0"
"Portio","","Data modifying tests","0","0","1","0","0"
"Portio","","Terms and conditions tests","0","0","2","0","0"
"Portio","","Data delete tests","0","0","1","0","0"
"Portio","","Registration tests","5","0","3","0","0"
"Portio","","Data saving tests","0","0","1","0","0"
"Portio","","Data input repeatedly and continuously from datasource tests","0","0","2","0","0"
"Portio","","Pagination tests","0","0","1","0","0"
"Portio","","Logout tests","0","0","1","0","0"
"Portio","","Data listing tests","0","0","1","0","0"
